"Abbas, Safia","Sawamura, Hajime",,,,,,,,
"Dowell, Nia Marcia Maria","Skrypnyk, Sasha","Joksimović, Srećko","Graesser, Arthur C.","Dawson, Shane","Gašević, Dragan","Hennis, Thieme A.","De Vries, Pieter","Kovanović, Vitomir",
"Duong, Hien D.","Zhu, Linglong","Wang, Yutao","Heffernan, Neil T.",,,,,,
"Dyckhoff, Anna Lea","Zielke, Dennis","Chatti, Mohamed Amine","Schroeder, Ulrik",,,,,,
"Eagle, Michael J.","Barnes, Tiffany",,,,,,,,
"Eagle, Michael J.","Barnes, Tiffany",,,,,,,,
"Eagle, Michael J.","Barnes, Tiffany",,,,,,,,
"Eagle, Michael J.","Barnes, Tiffany",,,,,,,,
"Eagle, Michael J.","Brown, Rebecca","Barnes, Tiffany","Rowe, Elizabeth","Asbell-Clarke, Jodi","Edwards, Teon",,,,
"Eagle, Michael J.","Hicks, Drew","Barnes, Tiffany",,,,,,,
"Eagle, Michael J.","Johnson, Matthew W.","Barnes, Tiffany",,,,,,,
"Eagle, Michael J.","Polamreddi, Vinaya","Mostafavi, Behrooz","Barnes, Tiffany",,,,,,
"Emond, Bruno","Buffett, Scott",,,,,,,,
"Emond, Bruno","Buffett, Scott","Goutte, Cyril","Guo, Ruibiao Jaff",,,,,,
"Ezen-Can, Aysu","Boyer, Kristy Elizabeth",,,,,,,,
"Ezen-Can, Aysu","Boyer, Kristy Elizabeth",,,,,,,,
"Ezen-Can, Aysu","Boyer, Kristy Elizabeth",,,,,,,,
"Falakmasir, Mohammad Hassan","Habibi, Jafar",,,,,,,,
"Falakmasir, Mohammad Hassan","Pardos, Zachary A.","Gordon, Geoffrey J.","Brusilovsky, Peter",,,,,,
"Falakmasir, Mohammad Hassan","Yudelson, Michael V.","Ritter, Steven","Koedinger, Kenneth R.",,,,,,
"Fancsali, Stephen E.",,,,,,,,,
"Fancsali, Stephen E.",,,,,,,,,
"Fancsali, Stephen E.",,,,,,,,,
"Fancsali, Stephen E.",,,,,,,,,
"Fancsali, Stephen E.","Nixon, Tristan","Ritter, Steven",,,,,,,
"Faucon, Louis","Kidziński, Łukasz","Dillenbourg, Pierre",,,,,,,
"Feild, Jacqueline",,,,,,,,,
"Feng, Mingyu",,,,,,,,,
"Feng, Mingyu","Beck, Joseph E.",,,,,,,,
"Feng, Mingyu","Beck, Joseph E.","Heffernan, Neil T.",,,,,,,
"Feng, Mingyu","Beck, Joseph E.","Heffernan, Neil T.","Koedinger, Kenneth R.",,,,,,
"Feng, Mingyu","Heffernan, Neil T.",,,,,,,,
"Feng, Mingyu","Heffernan, Neil T.","Beck, Joseph E.","Koedinger, Kenneth R.",,,,,,
"Feng, Mingyu","Heffernan, Neil T.","Pardos, Zachary A.","Heffernan, Cristina",,,,,,
"Feng, Mingyu","Roschelle, Jeremy","Mason, Craig","Bhanot, Ruchi",,,,,,
"Fincham, Jon M.","Anderson, John R.","Betts, Shawn","Ferris, Jennifer L.",,,,,,
"Forsyth, Carol M.","Butler, Heather","Graesser, Arthur C.","Halpern, Diane","Millis, Keith","Cai, Zhiqiang","Wood, Jonathan",,,
"Forsyth, Carol M.","Pavlik Jr., Philip I.","Graesser, Arthur C.","Cai, Zhiqiang","Germany, Mae-Lynn","Millis, Keith","Butler, Heather","Halpern, Diane","Dolan, Robert P.",
"Forsyth, Carol M.","Pavlik Jr., Philip I.","Graesser, Arthur C.","Millis, Keith","Samei, Borhan",,,,,
"Fouh, Eric","Farghally, Mohammed F.","Hamouda, Sally","Shaffer, Clifford A.","Koh, Kyu Han",,,,,
"France, Stephen","Vaghefi, Mahyar","Batchelder, William",,,,,,,
"Fuentes, Javier","Romero, Cristóbal","García-Martínez, Carlos","Ventura, Sebastián",,,,,,
"Galyardt, April","Goldin, Ilya M.",,,,,,,,
"Galyardt, April","Goldin, Ilya M.",,,,,,,,
"Gandhi, Ankit","Biswas, Arijit","Deshmukh, Om",,,,,,,
"García-Saiz, Diego","Zorrilla Pantaleón, Marta Elena",,,,,,,,
"García-Saiz, Diego","Zorrilla Pantaleón, Marta Elena",,,,,,,,
"García-Saiz, Diego","Zorrilla Pantaleón, Marta Elena",,,,,,,,
"García-Saiz, Diego","Zorrilla Pantaleón, Marta Elena","Palazuelos, Camilo",,,,,,,
"García-Saiz, Diego","Zorrilla, Marta E.",,,,,,,,
"Garcia-Zubia, Javier","Romero, Susana","Guenaga, M. Luz","Cuadros, Jordi","González, Lucinio","Orduña, Pablo",,,,
"García, Enrique","Romero, Cristóbal","Ventura, Sebastián","Gea, Miguel","De Castro, Carlos",,,,,
"Gašević, Dragan","Martin, Taylor","Pardos, Zachary A.","Stamper, John","Pechenizkiy, Mykola","Zaiane, Osmar",,,,
"Gelman, Ben","Revelle, Matt","Domeniconi, Carlotta","Johri, Aditya","Veeramachaneni, Kalyan",,,,,
"Geryk, Jan",,,,,,,,,
"Géryk, Jan","Popelínský, Lubomír",,,,,,,,
"Goedecke, Patricia J.","Dong, Daqi","Shi, Genghu","Feng, Shi","Risko, Evan","Olney, Andrew M.","D'Mello, Sidney K. D.","Graesser, Arthur C.",,
"Goguadze, George","Sosnovsky, Sergey","Isotani, Seiji","McLaren, Bruce M.",,,,,,
"Goldin, Ilya M.","Galyardt, April",,,,,,,,
